ComInsee,"ComLib",EquipementId,EquNbEquIdentique,ActCode,"ActLib","EquActivitePraticable","EquActivitePratique","EquActiviteSalleSpe","ActNivLib"
44002,"Aigrefeuille-sur-Maine",129794,1,3602,"Musculation","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",129794,1,3603,"Culturisme","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",129802,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",129802,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",129802,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",137089,1,2601,"Equitation","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137089,1,2603,"Dressage","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137089,1,2604,"Saut d'obstacle","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137095,1,2601,"Equitation","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137095,1,2603,"Dressage","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137095,1,2604,"Saut d'obstacle","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137095,1,2605,"Attelage","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",137095,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",203945,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",203963,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",217498,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",217498,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",252824,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",252824,1,1701,"Canoë de randonnée","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",275133,1,6303,"Roller acrobatique","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",275133,1,6306,"Planche à roulettes (Skate)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",275133,1,2202,"Bicross (BMX)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",284240,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",284246,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",284250,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",288494,1,1701,"Canoë de randonnée","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44002,"Aigrefeuille-sur-Maine",318126,1,2501,"Echecs","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",318127,1,2501,"Echecs","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",318128,1,2501,"Echecs","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",318136,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Entrainement"
44002,"Aigrefeuille-sur-Maine",318142,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Scolaire"
44003,"Ancenis",66624,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66624,1,3408,"Gymnastique Acrobatique","Oui","Oui","Non","Scolaire"
44003,"Ancenis",66624,1,3402,"Gymnastique Rythmique","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66625,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",66625,1,6001,"Pétanque et jeu provencal","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",66626,1,7901,"Tennis","Oui","Oui","Non","Entrainement"
44003,"Ancenis",66626,1,1101,"Basket-Ball","Oui","Oui","Non","Entrainement"
44003,"Ancenis",66626,1,6304,"Hockey sur patins en ligne / Hockey sur patins","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66626,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66626,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66626,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",66628,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66628,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66628,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66628,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",66628,1,8201,"Tir à l'arc","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",66630,1,6401,"Rugby à 15 / Rugby à 7","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",66648,1,5208,"Aquagym","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66648,1,5206,"Baignade loisirs","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66649,1,5201,"Natation course sportive","Oui","Oui","Non","Entrainement"
44003,"Ancenis",66649,1,5206,"Baignade loisirs","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",66649,1,2804,"Plongée subaquatique (Plongée libre)","Oui","Oui","Non","Entrainement"
44003,"Ancenis",66649,1,5202,"Natation synchronisée","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",67729,1,501,"Saut","Oui","Oui","Non","Entrainement"
44003,"Ancenis",67729,1,502,"Lancer","Oui","Oui","Non","Entrainement"
44003,"Ancenis",67729,1,503,"Course sur piste","Oui","Oui","Non","Entrainement"
44003,"Ancenis",67730,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",67730,1,6401,"Rugby à 15 / Rugby à 7","Oui","Oui","Non","Entrainement"
44003,"Ancenis",67731,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",67731,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",67731,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Scolaire"
44003,"Ancenis",67731,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Scolaire"
44003,"Ancenis",67732,2,1101,"Basket-Ball","Oui","Oui","Non","Scolaire"
44003,"Ancenis",67732,2,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",67732,2,7901,"Tennis","Oui","Non","Non",
44003,"Ancenis",68607,1,1701,"Canoë de randonnée","Oui","Oui","Non","Entrainement"
44003,"Ancenis",68607,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",68607,1,5001,"Motonautisme / Jet hydrojet / Aéroglisseur","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",68670,1,7102,"Karting","Oui","Oui","Non","Compétition nationale"
44003,"Ancenis",70611,1,5201,"Natation course sportive","Oui","Oui","Non","Entrainement"
44003,"Ancenis",70611,1,5206,"Baignade loisirs","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70612,1,5206,"Baignade loisirs","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70881,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70881,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70881,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70882,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",70882,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",70882,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",70882,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",70883,2,7901,"Tennis","Oui","Oui","Non","Entrainement"
44003,"Ancenis",71840,1,4401,"Karaté/Karaté jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",71840,1,4301,"Judo / Jujitsu / Taïso","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",71841,1,3401,"Gymnastique Artistique","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",71841,1,3408,"Gymnastique Acrobatique","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",71841,1,3402,"Gymnastique Rythmique","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",71842,2,7901,"Tennis","Oui","Oui","Non","Compétition nationale"
44003,"Ancenis",72414,1,503,"Course sur piste","Oui","Oui","Non","Scolaire"
44003,"Ancenis",72415,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",72415,1,6401,"Rugby à 15 / Rugby à 7","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",131585,2,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",131656,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",131656,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Scolaire"
44003,"Ancenis",131665,1,8201,"Tir à l'arc","Oui","Oui","Non","Entrainement"
44003,"Ancenis",132115,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",132115,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",132115,1,3403,"Gymnastique Aérobic","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",132115,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",132115,1,8001,"Tennis de table","Oui","Oui","Non","Scolaire"
44003,"Ancenis",135224,1,1401,"Boxe Anglaise","Oui","Non","Non","Non défini"
44003,"Ancenis",135224,1,3101,"Full contact (boxe américaine)/Light contact/First full/Full défense/Super fight/Semi-contact","Oui","Oui","Non","Entrainement"
44003,"Ancenis",135231,1,8001,"Tennis de table","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",184142,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",184142,1,3602,"Musculation","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",184152,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",188706,1,6201,"Randonnée pédestre","Oui","Oui","Non",
44003,"Ancenis",203349,1,6101,"Planeur ULM / Multiaxe / Pendulaire / Paramoteur / Motorisations auxiliaires / Autogire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",203349,1,201,"Formule racer / Vol à moteur / Voltige aérienne/Rallye aérien/Pilotage précision","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",211994,1,1101,"Basket-Ball","Oui","Oui","Non","Scolaire"
44003,"Ancenis",211994,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",211994,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Scolaire"
44003,"Ancenis",211994,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Scolaire"
44003,"Ancenis",267458,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",271041,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",277371,1,4802,"Escalade","Oui","Oui","Non","Scolaire"
44003,"Ancenis",279953,1,503,"Course sur piste","Oui","Oui","Non","Scolaire"
44003,"Ancenis",279954,1,501,"Saut","Oui","Oui","Non","Scolaire"
44003,"Ancenis",289795,1,6303,"Roller acrobatique","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",289795,1,6306,"Planche à roulettes (Skate)","Oui","Oui","Non",
44003,"Ancenis",289796,1,7204,"Boules traditionnelles","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",290453,1,301,"Aérostation","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",318864,2,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Entrainement"
44003,"Ancenis",318869,1,1201,"Billard (Français (carambole),Snooker,Anglais,Américain)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",318870,1,8101,"Carabine (hors 300m) / Pistolet / Plateaux","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",318872,1,6001,"Pétanque et jeu provencal","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",318892,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Scolaire"
44003,"Ancenis",318893,1,1101,"Basket-Ball","Oui","Oui","Non","Scolaire"
44003,"Ancenis",318894,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",318894,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Scolaire"
44003,"Ancenis",318896,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",318897,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Scolaire"
44003,"Ancenis",318897,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",321464,1,4802,"Escalade","Oui","Oui","Non","Compétition départementale"
44003,"Ancenis",352178,1,5208,"Aquagym","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353613,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353614,2,7901,"Tennis","Oui","Oui","Non","Entrainement"
44003,"Ancenis",353618,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353619,1,2002,"Course d'orientation - Pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353728,1,1101,"Basket-Ball","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353728,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353728,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353728,1,7901,"Tennis","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353728,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353729,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44003,"Ancenis",353729,1,7901,"Tennis","Oui","Oui","Non","Scolaire"
44003,"Ancenis",353729,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Scolaire"
44003,"Ancenis",353729,1,1101,"Basket-Ball","Oui","Oui","Non","Scolaire"
44003,"Ancenis",353731,1,2202,"Bicross (BMX)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353732,1,501,"Saut","Oui","Oui","Non","Scolaire"
44003,"Ancenis",353773,1,4802,"Escalade","Oui","Oui","Non","Entrainement"
44003,"Ancenis",353774,1,6401,"Rugby à 15 / Rugby à 7","Oui","Oui","Non","Entrainement"
44003,"Ancenis",353807,1,6001,"Pétanque et jeu provencal","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44003,"Ancenis",353827,1,3302,"Swing","Oui","Oui","Non","Entrainement"
44003,"Ancenis",353828,1,8101,"Carabine (hors 300m) / Pistolet / Plateaux","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",353828,1,8102,"Cible Mobile / Carabine 300m","Oui","Oui","Non","Compétition régionale"
44003,"Ancenis",353832,1,3404,"Expression gymnique","Oui","Oui","Non","Scolaire"
44004,"Anetz",66783,2,7901,"Tennis","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66784,1,1101,"Basket-Ball","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66784,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66784,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44004,"Anetz",66784,1,701,"Badminton, Jeu de volant","Oui","Oui","Non",
44004,"Anetz",66785,1,2402,"Autres Danses","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66785,1,8901,"Activités de forme et de santé","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66785,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66786,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition départementale"
44004,"Anetz",66786,1,701,"Badminton, Jeu de volant","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",66786,1,7901,"Tennis","Oui","Oui","Non","Compétition régionale"
44004,"Anetz",66786,1,8801,"Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley","Oui","Oui","Non","Scolaire"
44004,"Anetz",66786,1,3701,"Handball / Mini hand / Handball de plage","Oui","Oui","Non","Scolaire"
44004,"Anetz",71384,1,2901,"Football / Football en salle (Futsal)","Oui","Oui","Non","Compétition départementale"
44004,"Anetz",189276,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189276,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189276,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189288,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189288,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189288,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189297,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189297,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189297,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189310,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189310,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",189310,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194428,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194428,1,2301,"Cyclotourisme","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194428,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194437,1,2301,"Cyclotourisme","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194437,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",194437,1,2608,"Randonnée équestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",280539,1,2301,"Cyclotourisme","Oui","Non","Non",
44004,"Anetz",280539,1,2204,"Vtt (Cross Country/ Descente/ Trial/ Rallye/ Four Cross) / Vélo trial","Oui","Non","Non",
44004,"Anetz",280539,1,6201,"Randonnée pédestre","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",280539,1,2608,"Randonnée équestre","Oui","Non","Non",
44004,"Anetz",291801,1,7901,"Tennis","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291803,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291803,1,1701,"Canoë de randonnée","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291803,1,5001,"Motonautisme / Jet hydrojet / Aéroglisseur","Oui","Non","Non",
44004,"Anetz",291803,1,6902,"Ski nautique classique / Course / à figures libres / nupieds / Kneeboard / Wake-board","Oui","Non","Non",
44004,"Anetz",291804,1,1701,"Canoë de randonnée","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291804,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291804,1,5001,"Motonautisme / Jet hydrojet / Aéroglisseur","Oui","Non","Non",
44004,"Anetz",291804,1,6902,"Ski nautique classique / Course / à figures libres / nupieds / Kneeboard / Wake-board","Oui","Non","Non",
44004,"Anetz",291871,1,5501,"Pêche au coup en eau douce","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",291871,1,1701,"Canoë de randonnée","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44004,"Anetz",312399,1,2202,"Bicross (BMX)","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
44005,"Arthon-en-Retz",71148,1,7901,"Tennis","Oui","Oui","Non","Compétition départementale"
44005,"Arthon-en-Retz",71148,1,1101,"Basket-Ball","Oui","Oui","Non","Compétition départementale"
44005,"Arthon-en-Retz",71148,1,3501,"Gymnastique volontaire","Oui","Oui","Non","Loisir - Entretien - Remise en forme"
